layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'features.0.conv',32,32,3,3,3,32,1,1,1,1024,32,32
'features.1.sequence.0.conv',32,32,32,3,3,32,1,1,2,1024,32,32
'features.1.sequence.1.conv',32,32,32,1,1,16,1,1,1,1024,16,16
'features.2.sequence.0.conv',32,32,16,3,3,24,1,1,1,1024,32,32
'features.2.sequence.1.sequence.0.conv',32,32,24,1,1,72,1,1,1,1024,16,16
'features.2.sequence.1.sequence.1.conv',32,32,72,3,3,72,1,1,2,1024,32,32
'features.2.sequence.1.sequence.2.conv',32,32,72,1,1,24,1,1,1,1024,16,16
'features.2.sequence.1.sequence.0.conv',32,32,24,1,1,72,1,1,1,1024,16,16
'features.2.sequence.1.sequence.1.conv',32,32,72,3,3,72,1,1,2,1024,32,32
'features.2.sequence.1.sequence.2.conv',32,32,72,1,1,24,1,1,1,1024,16,16
'features.2.sequence.1.sequence.0.conv',32,32,24,1,1,72,1,1,1,1024,16,16
'features.2.sequence.1.sequence.1.conv',32,32,72,3,3,72,1,1,2,1024,32,32
'features.2.sequence.1.sequence.2.conv',32,32,72,1,1,24,1,1,1,1024,16,16
'features.3.sequence.0.conv',32,32,24,3,3,40,1,1,1,1024,32,32
'features.3.sequence.1.sequence.0.conv',32,32,40,1,1,120,1,1,1,1024,16,16
'features.3.sequence.1.sequence.1.conv',32,32,120,5,5,120,1,1,2,1024,30,30
'features.3.sequence.1.sequence.2.conv',32,32,120,1,1,40,1,1,1,1024,16,16
'features.3.sequence.1.sequence.0.conv',32,32,40,1,1,120,1,1,1,1024,16,16
'features.3.sequence.1.sequence.1.conv',32,32,120,5,5,120,1,1,2,1024,30,30
'features.3.sequence.1.sequence.2.conv',32,32,120,1,1,40,1,1,1,1024,16,16
'features.3.sequence.1.sequence.0.conv',32,32,40,1,1,120,1,1,1,1024,16,16
'features.3.sequence.1.sequence.1.conv',32,32,120,5,5,120,1,1,2,1024,30,30
'features.3.sequence.1.sequence.2.conv',32,32,120,1,1,40,1,1,1,1024,16,16
'features.4.sequence.0.conv',32,32,40,3,3,80,1,2,1,1024,16,16
'features.4.sequence.1.sequence.0.conv',16,16,80,1,1,480,1,1,1,1024,8,8
'features.4.sequence.1.sequence.1.conv',16,16,480,5,5,480,1,1,2,1024,14,14
'features.4.sequence.1.sequence.2.conv',16,16,480,1,1,80,1,1,1,1024,8,8
'features.4.sequence.1.sequence.0.conv',16,16,80,1,1,480,1,1,1,1024,8,8
'features.4.sequence.1.sequence.1.conv',16,16,480,5,5,480,1,1,2,1024,14,14
'features.4.sequence.1.sequence.2.conv',16,16,480,1,1,80,1,1,1,1024,8,8
'features.4.sequence.1.sequence.0.conv',16,16,80,1,1,480,1,1,1,1024,8,8
'features.4.sequence.1.sequence.1.conv',16,16,480,5,5,480,1,1,2,1024,14,14
'features.4.sequence.1.sequence.2.conv',16,16,480,1,1,80,1,1,1,1024,8,8
'features.5.sequence.0.conv',16,16,80,3,3,96,1,1,1,1024,16,16
'features.5.sequence.1.sequence.0.conv',16,16,96,1,1,576,1,1,1,1024,8,8
'features.5.sequence.1.sequence.1.conv',16,16,576,3,3,576,1,1,2,1024,16,16
