layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'conv0',32,32,3,3,3,32,1,1,1,1024,32,32
'bottlenecks.0.conv1',32,32,32,1,1,32,1,1,1,1024,16,16
'bottlenecks.0.conv2',32,32,32,3,3,32,1,1,2,1024,32,32
'bottlenecks.0.conv2',32,32,32,3,3,32,1,1,2,1024,32,32
'bottlenecks.0.conv3',32,32,32,1,1,16,1,1,1,1024,16,16
'bottlenecks.1.conv1',32,32,16,1,1,96,1,1,1,1024,16,16
'bottlenecks.1.conv2',32,32,96,3,3,96,1,1,2,1024,32,32
'bottlenecks.1.conv2',32,32,96,3,3,96,1,1,2,1024,32,32
'bottlenecks.1.conv3',32,32,96,1,1,24,1,1,1,1024,16,16
'bottlenecks.2.conv1',32,32,24,1,1,144,1,1,1,1024,16,16
'bottlenecks.2.conv2',32,32,144,3,3,144,1,1,2,1024,32,32
'bottlenecks.2.conv2',32,32,144,3,3,144,1,1,2,1024,32,32
'bottlenecks.2.conv3',32,32,144,1,1,24,1,1,1,1024,16,16
'bottlenecks.3.conv1',32,32,24,1,1,144,1,1,1,1024,16,16
'bottlenecks.3.conv2',32,32,144,3,3,144,1,1,2,1024,32,32
'bottlenecks.3.conv2',32,32,144,3,3,144,1,1,2,1024,32,32
'bottlenecks.3.conv3',32,32,144,1,1,32,1,1,1,1024,16,16
'bottlenecks.4.conv1',32,32,32,1,1,192,1,1,1,1024,16,16
'bottlenecks.4.conv2',32,32,192,3,3,192,1,1,2,1024,32,32
'bottlenecks.4.conv2',32,32,192,3,3,192,1,1,2,1024,32,32
'bottlenecks.4.conv3',32,32,192,1,1,32,1,1,1,1024,16,16
'bottlenecks.5.conv1',32,32,32,1,1,192,1,1,1,1024,16,16
'bottlenecks.5.conv2',32,32,192,3,3,192,1,1,2,1024,32,32
'bottlenecks.5.conv2',32,32,192,3,3,192,1,1,2,1024,32,32
'bottlenecks.5.conv3',32,32,192,1,1,32,1,1,1,1024,16,16
'bottlenecks.6.conv1',32,32,32,1,1,192,1,1,1,1024,16,16
'bottlenecks.6.conv2',32,32,192,3,3,192,1,2,2,1024,16,16
'bottlenecks.6.conv2',16,16,192,3,3,192,1,2,2,1024,8,8
'bottlenecks.6.conv3',8,8,192,1,1,64,1,1,1,1024,4,4
'bottlenecks.7.conv1',8,8,64,1,1,384,1,1,1,1024,4,4
'bottlenecks.7.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.7.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.7.conv3',8,8,384,1,1,64,1,1,1,1024,4,4
'bottlenecks.8.conv1',8,8,64,1,1,384,1,1,1,1024,4,4
'bottlenecks.8.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.8.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.8.conv3',8,8,384,1,1,64,1,1,1,1024,4,4
'bottlenecks.9.conv1',8,8,64,1,1,384,1,1,1,1024,4,4
'bottlenecks.9.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.9.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.9.conv3',8,8,384,1,1,64,1,1,1,1024,4,4
'bottlenecks.10.conv1',8,8,64,1,1,384,1,1,1,1024,4,4
'bottlenecks.10.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.10.conv2',8,8,384,3,3,384,1,1,2,1024,8,8
'bottlenecks.10.conv3',8,8,384,1,1,96,1,1,1,1024,4,4
'bottlenecks.11.conv1',8,8,96,1,1,576,1,1,1,1024,4,4
'bottlenecks.11.conv2',8,8,576,3,3,576,1,1,2,1024,8,8
'bottlenecks.11.conv2',8,8,576,3,3,576,1,1,2,1024,8,8
