layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'conv1',32,32,3,3,3,64,1,1,1,1024,32,32
'layer1.0.conv1',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.0.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.1.conv1',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.1.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer2.0.conv1',32,32,64,3,3,128,1,2,1,1024,16,16
'layer2.0.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.0.shortcut.0',32,32,64,1,1,128,1,2,1,1024,16,16
'layer2.1.conv1',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.1.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer3.0.conv1',16,16,128,3,3,256,1,2,1,1024,8,8
'layer3.0.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.0.shortcut.0',16,16,128,1,1,256,1,2,1,1024,8,8
'layer3.1.conv1',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.1.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer4.0.conv1',8,8,256,3,3,512,1,2,1,1024,4,4
'layer4.0.conv2',4,4,512,3,3,512,1,1,1,1024,4,4
'layer4.0.shortcut.0',8,8,256,1,1,512,1,2,1,1024,4,4
'layer4.1.conv1',4,4,512,3,3,512,1,1,1,1024,4,4
'layer4.1.conv2',4,4,512,3,3,512,1,1,1,1024,4,4
'linear',1,1,512,1,1,10,1,1,0,1024,1,1
'conv1',32,32,64,3,3,3,1,1,1,1024,32,32
'layer1.0.conv1',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.0.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.1.conv1',32,32,64,3,3,64,1,1,1,1024,32,32
'layer1.1.conv2',32,32,64,3,3,64,1,1,1,1024,32,32
'layer2.0.conv1',16,16,128,3,3,64,1,2,1,1024,32,32
'layer2.0.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.0.shortcut.0',16,16,128,1,1,64,1,2,1,1024,32,32
'layer2.1.conv1',16,16,128,3,3,128,1,1,1,1024,16,16
'layer2.1.conv2',16,16,128,3,3,128,1,1,1,1024,16,16
'layer3.0.conv1',8,8,256,3,3,128,1,2,1,1024,16,16
'layer3.0.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.0.shortcut.0',8,8,256,1,1,128,1,2,1,1024,16,16
'layer3.1.conv1',8,8,256,3,3,256,1,1,1,1024,8,8
'layer3.1.conv2',8,8,256,3,3,256,1,1,1,1024,8,8
'layer4.0.conv1',4,4,512,3,3,256,1,2,1,1024,8,8
'layer4.0.conv2',4,4,512,3,3,512,1,1,1,1024,4,4
'layer4.0.shortcut.0',4,4,512,1,1,256,1,2,1,1024,8,8
'layer4.1.conv1',4,4,512,3,3,512,1,1,1,1024,4,4
'layer4.1.conv2',4,4,512,3,3,512,1,1,1,1024,4,4
'linear',1,1,10,1,1,512,1,1,0,1024,1,1
'conv1',32,32,1024,32,32,64,1,1,1,3,3,3
'layer1.0.conv1',32,32,1024,32,32,64,1,1,1,64,3,3
'layer1.0.conv2',32,32,1024,32,32,64,1,1,1,64,3,3
'layer1.1.conv1',32,32,1024,32,32,64,1,1,1,64,3,3
'layer1.1.conv2',32,32,1024,32,32,64,1,1,1,64,3,3
'layer2.0.conv1',32,32,1024,16,16,128,1,2,1,64,3,3
'layer2.0.conv2',16,16,1024,16,16,128,1,1,1,128,3,3
'layer2.0.shortcut.0',32,32,1024,16,16,128,1,2,1,64,1,1
'layer2.1.conv1',16,16,1024,16,16,128,1,1,1,128,3,3
'layer2.1.conv2',16,16,1024,16,16,128,1,1,1,128,3,3
'layer3.0.conv1',16,16,1024,8,8,256,1,2,1,128,3,3
'layer3.0.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.0.shortcut.0',16,16,1024,8,8,256,1,2,1,128,1,1
'layer3.1.conv1',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.1.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer4.0.conv1',8,8,1024,4,4,512,1,2,1,256,3,3
'layer4.0.conv2',4,4,1024,4,4,512,1,1,1,512,3,3
'layer4.0.shortcut.0',8,8,1024,4,4,512,1,2,1,256,1,1
'layer4.1.conv1',4,4,1024,4,4,512,1,1,1,512,3,3
'layer4.1.conv2',4,4,1024,4,4,512,1,1,1,512,3,3
'linear',1,1,1024,1,1,512,1,1,0,10,1,1
